Iteracao,Sitios Vazios,Particulas Pequenas,Particulas Grandes,pp,pg
1,189,0,111,0.0,1.0
2,178,0,122,0.0,1.0
3,172,0,128,0.0,1.0
4,172,0,128,0.0,1.0
5,172,0,128,0.0,1.0
6,172,0,128,0.0,1.0
7,172,0,128,0.0,1.0
8,172,0,128,0.0,1.0
9,172,0,128,0.0,1.0
10,172,0,128,0.0,1.0
11,172,0,128,0.0,1.0
12,172,0,128,0.0,1.0
13,172,0,128,0.0,1.0
14,172,0,128,0.0,1.0
15,172,0,128,0.0,1.0
16,172,0,128,0.0,1.0
17,172,0,128,0.0,1.0
18,172,0,128,0.0,1.0
19,172,0,128,0.0,1.0
20,172,0,128,0.0,1.0
21,172,0,128,0.0,1.0
22,172,0,128,0.0,1.0
23,172,0,128,0.0,1.0
24,172,0,128,0.0,1.0
25,172,0,128,0.0,1.0
26,172,0,128,0.0,1.0
27,172,0,128,0.0,1.0
28,172,0,128,0.0,1.0
29,172,0,128,0.0,1.0
30,172,0,128,0.0,1.0
1,203,5,92,0.1,0.9
2,191,2,107,0.1,0.9
3,183,4,113,0.1,0.9
4,181,2,117,0.1,0.9
5,183,1,116,0.1,0.9
6,186,1,113,0.1,0.9
7,176,4,120,0.1,0.9
8,175,0,125,0.1,0.9
9,173,0,127,0.1,0.9
10,170,0,130,0.1,0.9
11,179,1,120,0.1,0.9
12,177,2,121,0.1,0.9
13,184,1,115,0.1,0.9
14,178,3,119,0.1,0.9
15,179,2,119,0.1,0.9
16,180,2,118,0.1,0.9
17,185,0,115,0.1,0.9
18,181,1,118,0.1,0.9
19,181,0,119,0.1,0.9
20,179,0,121,0.1,0.9
21,173,1,126,0.1,0.9
22,171,1,128,0.1,0.9
23,175,2,123,0.1,0.9
24,177,3,120,0.1,0.9
25,169,3,128,0.1,0.9
26,174,1,125,0.1,0.9
27,171,1,128,0.1,0.9
28,172,2,126,0.1,0.9
29,180,2,118,0.1,0.9
30,179,1,120,0.1,0.9
1,207,7,86,0.2,0.8
2,205,3,92,0.2,0.8
3,202,5,93,0.2,0.8
4,196,7,97,0.2,0.8
5,187,7,106,0.2,0.8
6,192,3,105,0.2,0.8
7,197,5,98,0.2,0.8
8,206,4,90,0.2,0.8
9,193,2,105,0.2,0.8
10,192,4,104,0.2,0.8
11,193,3,104,0.2,0.8
12,188,4,108,0.2,0.8
13,192,3,105,0.2,0.8
14,192,5,103,0.2,0.8
15,196,6,98,0.2,0.8
16,189,5,106,0.2,0.8
17,198,6,96,0.2,0.8
18,199,3,98,0.2,0.8
19,197,1,102,0.2,0.8
20,192,2,106,0.2,0.8
21,181,6,113,0.2,0.8
22,194,6,100,0.2,0.8
23,195,6,99,0.2,0.8
24,190,7,103,0.2,0.8
25,198,6,96,0.2,0.8
26,188,7,105,0.2,0.8
27,185,13,102,0.2,0.8
28,195,6,99,0.2,0.8
29,193,9,98,0.2,0.8
30,195,10,95,0.2,0.8
1,211,20,69,0.3,0.7
2,200,13,87,0.3,0.7
3,210,14,76,0.3,0.7
4,223,10,67,0.3,0.7
5,205,25,70,0.3,0.7
6,212,22,66,0.3,0.7
7,203,19,78,0.3,0.7
8,205,20,75,0.3,0.7
9,207,20,73,0.3,0.7
10,199,19,82,0.3,0.7
11,210,17,73,0.3,0.7
12,217,16,67,0.3,0.7
13,198,12,90,0.3,0.7
14,208,18,74,0.3,0.7
15,208,25,67,0.3,0.7
16,205,23,72,0.3,0.7
17,198,26,76,0.3,0.7
18,203,22,75,0.3,0.7
19,211,15,74,0.3,0.7
20,211,16,73,0.3,0.7
21,207,19,74,0.3,0.7
22,199,19,82,0.3,0.7
23,209,23,68,0.3,0.7
24,213,17,70,0.3,0.7
25,202,19,79,0.3,0.7
26,212,21,67,0.3,0.7
27,209,21,70,0.3,0.7
28,208,12,80,0.3,0.7
29,206,16,78,0.3,0.7
30,215,15,70,0.3,0.7
1,228,25,47,0.4,0.6
2,213,33,54,0.4,0.6
3,209,40,51,0.4,0.6
4,205,48,47,0.4,0.6
5,201,65,34,0.4,0.6
6,203,62,35,0.4,0.6
7,208,55,37,0.4,0.6
8,205,52,43,0.4,0.6
9,202,59,39,0.4,0.6
10,216,53,31,0.4,0.6
11,217,52,31,0.4,0.6
12,221,42,37,0.4,0.6
13,202,56,42,0.4,0.6
14,211,47,42,0.4,0.6
15,206,56,38,0.4,0.6
16,205,60,35,0.4,0.6
17,197,74,29,0.4,0.6
18,197,75,28,0.4,0.6
19,194,82,24,0.4,0.6
20,190,83,27,0.4,0.6
21,202,69,29,0.4,0.6
22,209,57,34,0.4,0.6
23,209,55,36,0.4,0.6
24,219,49,32,0.4,0.6
25,203,61,36,0.4,0.6
26,212,60,28,0.4,0.6
27,208,57,35,0.4,0.6
28,201,65,34,0.4,0.6
29,205,59,36,0.4,0.6
30,203,55,42,0.4,0.6
1,215,48,37,0.5,0.5
2,201,67,32,0.5,0.5
3,168,100,32,0.5,0.5
4,171,108,21,0.5,0.5
5,168,115,17,0.5,0.5
6,169,121,10,0.5,0.5
7,147,146,7,0.5,0.5
8,137,155,8,0.5,0.5
9,126,169,5,0.5,0.5
10,121,172,7,0.5,0.5
11,125,171,4,0.5,0.5
12,127,165,8,0.5,0.5
13,119,175,6,0.5,0.5
14,125,173,2,0.5,0.5
15,129,167,4,0.5,0.5
16,116,178,6,0.5,0.5
17,125,172,3,0.5,0.5
18,119,172,9,0.5,0.5
19,128,169,3,0.5,0.5
20,119,175,6,0.5,0.5
21,118,178,4,0.5,0.5
22,111,183,6,0.5,0.5
23,104,193,3,0.5,0.5
24,111,182,7,0.5,0.5
25,117,175,8,0.5,0.5
26,114,177,9,0.5,0.5
27,129,166,5,0.5,0.5
28,125,166,9,0.5,0.5
29,121,167,12,0.5,0.5
30,130,162,8,0.5,0.5
1,195,82,23,0.6,0.4
2,163,129,8,0.6,0.4
3,131,164,5,0.6,0.4
4,105,190,5,0.6,0.4
5,94,205,1,0.6,0.4
6,79,220,1,0.6,0.4
7,64,235,1,0.6,0.4
8,54,245,1,0.6,0.4
9,43,256,1,0.6,0.4
10,41,258,1,0.6,0.4
11,31,269,0,0.6,0.4
12,25,275,0,0.6,0.4
13,13,287,0,0.6,0.4
14,7,293,0,0.6,0.4
15,6,294,0,0.6,0.4
16,6,294,0,0.6,0.4
17,4,296,0,0.6,0.4
18,3,297,0,0.6,0.4
19,2,298,0,0.6,0.4
20,2,298,0,0.6,0.4
21,2,298,0,0.6,0.4
22,0,300,0,0.6,0.4
23,0,300,0,0.6,0.4
24,0,300,0,0.6,0.4
25,0,300,0,0.6,0.4
26,0,300,0,0.6,0.4
27,0,300,0,0.6,0.4
28,0,300,0,0.6,0.4
29,0,300,0,0.6,0.4
30,0,300,0,0.6,0.4
1,174,112,14,0.7,0.30000000000000004
2,126,170,4,0.7,0.30000000000000004
3,91,207,2,0.7,0.30000000000000004
4,65,235,0,0.7,0.30000000000000004
5,40,260,0,0.7,0.30000000000000004
6,28,272,0,0.7,0.30000000000000004
7,21,277,2,0.7,0.30000000000000004
8,18,282,0,0.7,0.30000000000000004
9,13,287,0,0.7,0.30000000000000004
10,13,287,0,0.7,0.30000000000000004
11,14,286,0,0.7,0.30000000000000004
12,7,293,0,0.7,0.30000000000000004
13,3,297,0,0.7,0.30000000000000004
14,1,299,0,0.7,0.30000000000000004
15,0,300,0,0.7,0.30000000000000004
16,0,300,0,0.7,0.30000000000000004
17,0,300,0,0.7,0.30000000000000004
18,0,300,0,0.7,0.30000000000000004
19,0,300,0,0.7,0.30000000000000004
20,0,300,0,0.7,0.30000000000000004
21,0,300,0,0.7,0.30000000000000004
22,0,300,0,0.7,0.30000000000000004
23,0,300,0,0.7,0.30000000000000004
24,0,300,0,0.7,0.30000000000000004
25,0,300,0,0.7,0.30000000000000004
26,0,300,0,0.7,0.30000000000000004
27,0,300,0,0.7,0.30000000000000004
28,0,300,0,0.7,0.30000000000000004
29,0,300,0,0.7,0.30000000000000004
30,0,300,0,0.7,0.30000000000000004
1,172,126,2,0.8,0.19999999999999996
2,86,214,0,0.8,0.19999999999999996
3,53,247,0,0.8,0.19999999999999996
4,21,279,0,0.8,0.19999999999999996
5,10,290,0,0.8,0.19999999999999996
6,8,292,0,0.8,0.19999999999999996
7,2,298,0,0.8,0.19999999999999996
8,1,299,0,0.8,0.19999999999999996
9,1,299,0,0.8,0.19999999999999996
10,1,299,0,0.8,0.19999999999999996
11,0,300,0,0.8,0.19999999999999996
